Index,Year,Team,Played,Won,Loss ,Tie,Points, POFF Played ,POFF Won,POFF Loss,Position,P-Points,O-Points,Rank
1,2008,RajasthanRoyals,14,11,3,0,22,2,2,0,1,80,80,1
2,2008,KingsXIPunjab,14,10,4,0,20,2,1,1,3,60,60,3
3,2008,ChennaiSuperKings,14,8,6,0,16,1,0,1,2,70,70,2
4,2008,DelhiDaredevils,14,7,6,1,15,1,0,1,4,50,50,4
5,2008,MumbaiIndians,14,7,7,0,14,0,0,0,5,40,40,5
6,2008,KolkataKnightRiders,14,6,7,1,13,0,0,0,6,30,30,6
7,2008,RoyalChallengersBangalore,14,4,10,0,8,0,0,0,7,20,20,7
8,2008,DeccanChargers,14,2,12,0,4,0,0,0,8,10,10,8
9,2009,DelhiDaredevils,14,10,4,0,20,1,0,1,3,60,110,3
10,2009,ChennaiSuperKings,14,8,5,1,17,1,0,1,4,50,120,1
11,2009,RoyalChallengersBangalore,14,8,6,0,16,2,1,1,2,70,90,5
12,2009,DeccanChargers,14,7,7,0,14,2,2,0,1,80,90,6
13,2009,KingsXIPunjab,14,7,7,0,14,0,0,0,5,40,100,4
14,2009,RajasthanRoyals,14,6,7,1,13,0,0,0,6,30,120,2
15,2009,MumbaiIndians,14,5,8,1,11,0,0,0,7,20,60,7
16,2009,KolkataKnightRiders,14,3,10,1,7,0,0,0,8,10,40,8
2,2010,MumbaiIndians,14,10,4,0,20,2,2,0,1,80,140,4
18,2010,DeccanChargers,14,8,6,0,16,1,0,1,4,50,140,5
19,2010,ChennaiSuperKings,14,7,7,0,14,2,1,1,2,70,190,1
20,2010,RoyalChallengersBangalore,14,7,7,0,14,1,0,1,3,60,150,2
21,2010,DelhiDaredevils,14,6,8,0,12,0,0,0,5,40,150,3
22,2010,KolkataKnightRiders,14,5,9,0,10,0,0,0,6,30,70,8
23,2010,RajasthanRoyals,14,5,9,0,10,0,0,0,7,20,140,6
24,2010,KingsXIPunjab,14,3,11,0,6,0,0,0,8,10,110,7
25,2011,RoyalChallengersBangalore,14,9,4,1,19,3,2,1,2,70,220,2
26,2011,ChennaiSuperKings,14,9,5,0,18,2,2,0,1,80,270,1
27,2011,MumbaiIndians,14,9,5,0,18,2,1,1,3,60,200,3
28,2011,KolkataKnightRiders,14,8,6,0,16,1,0,1,4,50,120,8
29,2011,KingsXIPunjab,14,7,7,0,14,0,0,0,5,40,150,6
30,2011,RajasthanRoyals,14,6,7,1,13,0,0,0,6,30,170,4
31,2011,DeccanChargers,14,6,8,0,12,0,0,0,7,20,160,5
32,2011,KochiTuskersKerala,14,6,8,0,12,0,0,0,8,10,10,9
33,2011,PuneWarriorsIndia,14,4,9,1,9,0,0,0,9,0,0,10
34,2011,DelhiDaredevils,14,4,9,1,9,0,0,0,10,0,150,7
35,2012,DelhiDaredevils,16,11,5,0,22,2,1,1,3,60,210,4
36,2012,KolkataKnightRiders,16,10,5,1,21,2,2,0,1,80,200,5
37,2012,MumbaiIndians,16,10,6,0,20,1,0,1,4,50,250,3
38,2012,ChennaiSuperKings,16,8,7,1,17,3,2,1,2,70,340,1
39,2012,RoyalChallengersBangalore,16,8,7,1,17,0,0,0,5,40,260,2
40,2012,KingsXIPunjab,16,8,8,0,16,0,0,0,6,30,180,7
41,2012,RajasthanRoyals,16,7,9,0,14,0,0,0,7,20,190,6
42,2012,DeccanChargers,16,4,11,1,9,0,0,0,8,10,170,8
43,2012,PuneWarriorsIndia,16,4,12,0,8,0,0,0,9,0,10,9
44,2013,ChennaiSuperKings,16,11,5,0,22,2,2,0,1,80,420,1
45,2013,MumbaiIndians,16,11,5,0,22,3,2,1,2,70,320,2
46,2013,RajasthanRoyals,16,10,6,0,20,2,1,1,3,60,250,4
47,2013,SunrisersHyderabad,16,10,6,0,20,1,0,1,4,50,50,8
48,2013,RoyalChallengersBangalore,16,9,7,0,18,0,0,0,5,40,300,3
49,2013,KingsXIPunjab,16,8,8,0,16,0,0,0,6,30,210,6
50,2013,KolkataKnightRiders,16,6,10,0,12,0,0,0,7,20,220,5
51,2013,PuneWarriorsIndia,16,4,12,0,8,0,0,0,8,10,20,9
52,2013,DelhiDaredevils,16,3,13,0,6,0,0,0,9,0,210,7
53,2014,KingsXIPunjab,14,11,3,0,22,3,2,1,2,70,280,6
54,2014,KolkataKnightRiders,14,9,5,0,18,2,2,0,1,80,300,4
55,2014,ChennaiSuperKings,14,9,5,0,18,2,1,1,3,60,480,1
56,2014,MumbaiIndians,14,7,7,0,14,1,0,1,4,50,370,2
57,2014,RajasthanRoyals,14,7,7,0,14,0,0,0,5,40,290,5
58,2014,SunrisersHyderabad,14,6,8,0,12,0,0,0,6,30,80,8
59,2014,RoyalChallengersBangalore,14,5,9,0,10,0,0,0,7,20,320,3
60,2014,DelhiDaredevils,14,2,12,0,4,0,0,0,8,10,220,7
61,2015,ChennaiSuperKings,14,9,5,0,18,3,2,1,2,70,550,1
62,2015,MumbaiIndians,14,8,6,0,16,2,2,0,1,80,450,2
63,2015,RoyalChallengersBangalore,14,7,5,2,16,2,1,1,3,60,380,3
64,2015,RajasthanRoyals,14,7,5,2,16,1,0,1,4,50,340,4
65,2015,KolkataKnightRiders,14,7,6,1,15,0,0,0,5,40,340,5
65,2015,SunrisersHyderabad,14,7,7,0,14,0,0,0,6,30,110,8
67,2015,DelhiDaredevils,14,5,8,1,11,0,0,0,7,20,240,7
68,2015,KingsXIPunjab,14,3,11,0,6,0,0,0,8,10,290,6
69,2016,GujaratLions,14,9,5,0,18,2,1,1,3,60,60,7
70,2016,RoyalChallengersBangalore,14,8,6,0,16,2,1,1,2,70,450,2
71,2016,SunrisersHyderabad,14,8,6,0,16,3,3,0,1,80,190,6
72,2016,KolkataKnightRiders,14,8,6,0,16,1,0,1,4,50,390,3
73,2016,MumbaiIndians,14,7,7,0,14,0,0,0,5,40,490,1
74,2016,DelhiDaredevils,14,7,7,0,14,0,0,0,6,30,270,5
75,2016,RisingPuneSupergiant,14,5,9,0,10,0,0,0,7,20,20,8
76,2016,KingsXIPunjab,14,4,10,0,8,0,0,0,8,10,300,4
77,2017,MumbaiIndians,14,10,4,0,20,3,2,1,1,80,570,1
78,2017,RisingPuneSupergiant,14,9,5,0,18,2,1,1,2,70,90,7
79,2017,SunrisersHyderabad,14,8,5,1,17,1,0,1,4,50,240,6
80,2017,KolkataKnightRiders,14,8,6,0,16,2,1,1,3,60,450,3
81,2017,KingsXIPunjab,14,7,7,0,14,0,0,0,5,40,340,4
82,2017,DelhiDaredevils,14,6,8,0,12,0,0,0,6,30,300,5
83,2017,GujaratLions,14,4,10,0,8,0,0,0,7,20,80,8
84,2017,RoyalChallengersBangalore,14,3,10,1,7,0,0,0,8,10,460,2
85,2018,SunrisersHyderabad,14,9,5,0,18,3,2,1,2,70,310,7
86,2018,ChennaiSuperKings,14,9,5,0,18,2,2,0,1,80,630,1
87,2018,KolkataKnightRiders,14,8,6,0,16,2,1,1,3,60,510,3
88,2018,RajasthanRoyals,14,7,7,0,14,1,0,1,4,50,390,5
89,2018,MumbaiIndians,14,6,8,0,12,0,0,0,5,40,610,2
90,2018,RoyalChallengersBangalore,14,6,8,0,12,0,0,0,6,30,490,4
91,2018,KingsXIPunjab,14,6,8,0,12,0,0,0,7,20,360,6
92,2018,DelhiDaredevils,14,5,9,0,10,0,0,0,8,10,310,8
93,2019,MumbaiIndians,14,9,5,0,18,2,2,0,1,80,690,2
94,2019,ChennaiSuperKings,14,9,5,0,18,3,2,1,2,70,700,1
95,2019,DelhiCapitals,14,9,5,0,18,2,1,1,3,60,60,8
96,2019,SunrisersHyderabad,14,6,8,0,12,1,0,1,4,50,360,7
97,2019,KolkataKnightRiders,14,6,8,0,12,0,0,0,5,40,550,3
98,2019,KingsXIPunjab,14,6,8,0,12,0,0,0,6,30,390,6
99,2019,RajasthanRoyals,14,5,8,1,11,0,0,0,7,20,410,5
100,2019,RoyalChallengersBangalore,14,5,8,1,11,0,0,0,8,10,500,4
101,2020,MumbaiIndians,14,9,5,0,18,2,2,0,1,80,770,1
102,2020,DelhiCapitals,14,8,6,0,16,3,1,2,2,70,130,8
103,2020,SunrisersHyderabad,14,7,7,0,14,2,1,1,3,60,420,5
104,2020,RoyalChallengersBangalore,14,7,7,0,14,1,0,1,4,50,550,4
105,2020,KolkataKnightRiders,14,7,7,0,14,0,0,0,5,40,590,3
106,2020,KingsXIPunjab,14,6,8,0,12,0,0,0,6,30,420,6
107,2020,ChennaiSuperKings,14,6,8,0,12,0,0,0,7,20,720,2
108,2020,RajasthanRoyals,14,6,8,0,12,0,0,0,8,10,420,7
